"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","15.2553","15.7499","16.5782","17.457","18.3089","19.4471","19.9139","20.3825","21.1245","21.6562","22.5894","22.4518","22.7996","22.678","22.7377","22.8423","23.2322","23.8749","24.1376","24.0939","24.1102","24.688","13.7789","7.4958","5.16","5.8408","4.8933","5.6041","5.6447","5.2786","5.8043","5.9225","5.4972","5.9561","6.4334","7.1857","7.1576","7.9238","8.3986","7.1069","6.8521","7.4791","8.3503","8.3599","8.4377","8.3728","8.1827","8.3831","8.5439","9.0258","9.5603","9.7596","9.1331","",
"American Samoa","ASM","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.0061","0.0061","0.0061","0.0061","0.0061","0.0062","0.0062","0.0064","0.0064","0.0063","0.0063","0.0065","0.0068","0.0071","0.0074","0.0076","0.0078","0.008","0.0082","0.0084","0.0073","0.0074","0.0074","0.0075","0.0076","0.0076","0.0077","0.0078","0.0078","0.0079","0.008","0.0084","0.0085","0.0085","0.0085","0.0085","0.0085","0.0085","0.0084","0.0084","0.0083","0.0083","0.0083","0.0083","0.0083","0.0083","0.0083","0.0083","0.0083","0.0084","0.0084","0.0084","0.0084","",
"Antigua and Barbuda","ATG","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.1705","0.1775","0.199","0.2004","0.1861","0.2113","0.1988","0.2131","0.2179","0.2232","0.2265","0.2092","0.2439","0.1789","0.1985","0.2025","0.2072","0.2428","0.2543","0.2539","0.2466","0.2498","0.2519","0.2503","0.262","0.2716","0.2712","0.2806","0.2861","0.2816","0.226","0.2262","0.2404","0.2551","0.2604","0.2652","0.2832","0.304","0.321","0.3512","0.3419","0.2805","0.3022","0.3477","0.3574","0.3564","0.3772","0.3357","0.3753","0.4087","0.3587","0.349","0.3598","",
"Australia","AUS","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","314.8545","321.1099","333.1992","340.3994","355.2037","364.5654","367.6751","374.3397","365.321","369.4931","376.7207","379.5925","386.9","373.6334","385.3391","401.1892","405.8635","416.5375","425.0786","448.2717","456.6346","459.5489","461.1282","464.2075","469.6576","477.351","490.8985","503.8393","525.9463","533.164","542.0392","551.7994","560.4181","551.3685","571.8273","575.9361","580.3579","588.8668","586.9816","595.9713","601.1714","605.0921","607.5772","596.3544","584.7139","592.8248","593.2794","600.3286","597.03","595.2797","572.0736","560.8853","570.6027","",
"Austria","AUT","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","72.4505","75.3108","77.628","81.3673","79.0553","76.6204","82.0187","79.4915","81.609","84.3803","82.505","79.0152","76.8321","76.6948","79.2354","80.5643","78.9921","79.1628","77.945","77.242","81.4094","85.573","80.0238","80.0054","80.366","83.215","87.1686","86.3849","86.5756","84.5324","84.6695","89.5593","91.076","96.8566","96.5728","96.7863","94.2868","91.1696","90.5826","83.5436","89.7157","87.9162","84.6511","85.328","81.6541","82.6322","83.3277","85.7841","82.757","84.3049","78.2151","81.1275","76.6518","",
"Azerbaijan","AZE","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","46.2763","48.2214","50.687","53.4763","56.1012","59.7492","61.53","63.0545","65.5959","67.3451","69.7583","69.051","68.6813","68.4988","68.7558","68.7875","69.8419","72.0933","72.5694","73.1416","69.8075","67.4467","56.6837","50.3048","45.298","44.173","38.9189","38.4156","38.8337","39.6029","41.4388","40.5191","40.2779","43.3344","43.3312","46.4586","48.0708","50.0457","55.9244","49.3755","48.6263","51.4281","54.9683","56.4018","58.4439","58.032","58.1301","57.7856","59.1906","64.3138","63.5313","68.0409","68.8769","",
"Burundi","BDI","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","2.2848","2.2817","2.3774","2.435","2.4607","2.5468","2.5655","2.5864","2.6265","2.7054","2.476","2.2863","2.3183","2.3744","2.4586","2.4221","2.6299","2.6836","2.819","2.877","3.0592","3.1987","3.1536","3.1868","3.1413","3.2381","3.3119","3.3668","3.3261","3.248","3.3325","3.3541","3.3368","3.4044","3.5982","3.7319","3.966","4.2729","4.3298","4.5522","4.9456","5.2747","5.3416","6.0702","6.0751","6.1404","6.5129","7.2234","7.5197","7.1776","7.1409","7.3324","7.4799","",
"Belgium","BEL","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","170.1947","160.308","171.8103","177.622","177.8813","158.1329","167.5771","166.228","170.5063","179.7935","169.2811","157.5585","149.2133","139.9517","144.0463","141.5239","141.0313","140.1376","140.5619","141.3637","142.7705","146.7534","144.5798","142.5902","150.2074","151.0981","156.372","152.665","156.3891","152.507","153.7754","153.9639","146.1915","149.9421","148.8479","145.8048","142.2242","139.5377","141.1484","133.526","142.0583","131.7324","129.7348","130.8403","123.6885","127.9663","126.5539","124.1613","124.8701","124.5198","116.763","121.85","114.0017","",
"Benin","BEN","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","2.5191","2.6134","2.8267","2.9746","2.9621","3.1606","3.0416","3.1631","3.272","3.3962","3.5617","3.7768","4.0132","3.9416","4.0373","4.2835","4.0391","4.023","3.9985","4.0031","4.2016","4.31","4.4296","4.4695","4.8193","4.619","5.5827","5.8881","5.9279","6.2933","6.5461","7.0991","7.5707","7.9466","8.2858","8.7594","10.0373","10.7726","10.9164","11.4747","12.3775","12.5057","12.5027","13.3294","13.9321","14.5003","16.1911","16.6047","18.14","18.2605","19.0583","20.0975","20.6851","",
"Burkina Faso","BFA","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","6.8014","6.8349","6.5143","6.2264","6.3418","6.5501","6.7349","6.8538","7.1136","7.4373","7.6465","7.954","8.2948","8.5534","8.7722","9.7231","10.0863","10.4706","10.7743","11.022","11.2835","11.8864","12.0195","12.3012","12.6759","13.0856","13.4612","14.0203","14.4399","14.4534","14.8685","15.9454","16.3709","19.6983","20.0627","20.7014","21.1832","22.1779","23.2282","23.6899","24.5594","25.2991","26.2515","27.2798","27.6228","29.4169","30.1479","31.2966","32.5468","33.7295","34.405","35.5827","36.4971","",
